Real Average Weekly Earnings using CPI (seasonally adjusted);;;;;;;;;;Source: Monthly Wages and Salaries Survey;;;;
Date of this publication: 19 May 2026;;;;;;Date of next publication: 18 June 2026;;;;;;;;
Inquiries: Email: ;;earnings@ons.gov.uk ;;;;Tel: 01633 456120;;;;;;;;
;;;;;;;;;;;;;;
;Total pay, seasonally adjusted;;;;Regular Pay, seasonally adjusted;;;;;;;;;
;"Real AWE
(2015 £)";Real AWE (Index numbers 2015=100);% changes year on year;;"Real AWE
(2015 £)";Real AWE (Index numbers 2015=100);% changes year on year;;;;;;;
;;;Single month;3 month average;;;Single month;3 month average;;;;;;
;;;;;;;;;;;;;;
01.01.2000;424;87,8;;;406;89,5;;;;;;;;
01.02.2000;414;85,8;;;406;89,4;;;;;;;;
01.03.2000;429;88,9;;;405;89,2;;;;;;;;
01.04.2000;426;88,3;;;405;89,2;;;;;;;;
01.05.2000;430;89,1;;;407;89,7;;;;;;;;
01.06.2000;429;88,8;;;407;89,6;;;;;;;;
01.07.2000;432;89,4;;;408;89,8;;;;;;;;
01.08.2000;435;90,0;;;410;90,4;;;;;;;;
01.09.2000;436;90,2;;;411;90,6;;;;;;;;
01.10.2000;436;90,3;;;413;90,9;;;;;;;;
01.11.2000;437;90,5;;;413;91,0;;;;;;;;
01.12.2000;443;91,7;;;415;91,5;;;;;;;;
01.01.2001;443;91,7;4,5;;417;91,8;2,6;;;;;;;
01.02.2001;446;92,4;7,7;;418;92,0;2,9;;;;;;;
01.03.2001;445;92,1;3,6;5,2;419;92,3;3,5;3,0;;;;;;
01.04.2001;446;92,3;4,6;5,3;422;93,0;4,2;3,5;;;;;;
01.05.2001;444;92,0;3,3;3,8;420;92,5;3,1;3,6;;;;;;
01.06.2001;446;92,3;4,0;3,9;419;92,4;3,1;3,5;;;;;;
01.07.2001;446;92,4;3,3;3,5;423;93,3;3,8;3,4;;;;;;
01.08.2001;448;92,8;3,2;3,5;425;93,6;3,6;3,5;;;;;;
01.09.2001;449;93,0;3,1;3,2;425;93,7;3,4;3,6;;;;;;
01.10.2001;452;93,5;3,6;3,3;427;94,2;3,6;3,5;;;;;;
